[ReportsViewModel] CanExecuteUpdateReport: True (report: Custom Report - 2025-07-13, CanGenerateReports: True)
[ReportsViewModel] CanExecuteDownloadReport: True (report: Custom Report - 2025-07-13, CanExportReports: True)
[ReportsViewModel] CanExecuteEmailReport: True (report: Custom Report - 2025-07-13, CanExportReports: True)
[ReportsViewModel] CanExecuteDeleteReport: True (report: Custom Report - 2025-07-13, CanGenerateReports: True)
[ReportsViewModel] CanExecuteViewReport: True (report: System-wide Financial Report - 2025-07-11, CanAccessReports: True)
[ReportsViewModel] CanExecuteUpdateReport: True (report: System-wide Financial Report - 2025-07-11, CanGenerateReports: True)
[ReportsViewModel] CanExecuteDownloadReport: True (report: System-wide Financial Report - 2025-07-11, CanExportReports: True)
[ReportsViewModel] CanExecuteEmailReport: True (report: System-wide Financial Report - 2025-07-11, CanExportReports: True)
[ReportsViewModel] CanExecuteDeleteReport: True (report: System-wide Financial Report - 2025-07-11, CanGenerateReports: True)
[ReportsViewModel] CanExecuteViewReport: True (report: System-wide Event Report - 2025-07-11, CanAccessReports: True)
[ReportsViewModel] CanExecuteUpdateReport: True (report: System-wide Event Report - 2025-07-11, CanGenerateReports: True)
[ReportsViewModel] CanExecuteDownloadReport: True (report: System-wide Event Report - 2025-07-11, CanExportReports: True)
[ReportsViewModel] CanExecuteEmailReport: True (report: System-wide Event Report - 2025-07-11, CanExportReports: True)
[ReportsViewModel] CanExecuteDeleteReport: True (report: System-wide Event Report - 2025-07-11, CanGenerateReports: True)
[ReportsViewModel] CanExecuteViewReport: True (report: System-wide Membership Report - 2025-07-11, CanAccessReports: True)
[ReportsViewModel] CanExecuteUpdateReport: True (report: System-wide Membership Report - 2025-07-11, CanGenerateReports: True)
[ReportsViewModel] CanExecuteDownloadReport: True (report: System-wide Membership Report - 2025-07-11, CanExportReports: True)
[ReportsViewModel] CanExecuteEmailReport: True (report: System-wide Membership Report - 2025-07-11, CanExportReports: True)
[ReportsViewModel] CanExecuteDeleteReport: True (report: System-wide Membership Report - 2025-07-11, CanGenerateReports: True)
[ReportsViewModel] CanExecuteViewReport: True (report: Music Club - Event Outcomes, CanAccessReports: True)
[ReportsViewModel] CanExecuteUpdateReport: True (report: Music Club - Event Outcomes, CanGenerateReports: True)
[ReportsViewModel] CanExecuteDownloadReport: True (report: Music Club - Event Outcomes, CanExportReports: True)
[ReportsViewModel] CanExecuteEmailReport: True (report: Music Club - Event Outcomes, CanExportReports: True)
[ReportsViewModel] CanExecuteDeleteReport: True (report: Music Club - Event Outcomes, CanGenerateReports: True)
